,mu,alpha,homo,lumo,gap,zpve,cv,u0,u298,h298,g298
1590369,0.2721553093026935,8.379942982140877,-0.027654374897080152,0.0025992582584584774,0.030253665751235576,0.017537684822364036,3.739595544020066,-50.916593829732996,-50.91714078081248,-50.915447504998355,-50.92034559772572
1066081,0.03577796087758399,0.9817270205451122,-0.0031837179794901105,5.281650315903101e-05,0.003236524640441947,0.0017877814490268918,0.4293542908848462,-7.689052991897642,-7.689530993092867,-7.688904390265741,-7.6894784340540365
2115876,0.005052008762739309,0.11024115524229819,-0.00038750314844800035,-7.922987374458944e-05,0.000308272322231747,0.00014860097152109727,0.04567331915208856,-0.8173816915304104,-0.8173694097099194,-0.8173678199754474,-0.8174356864886603
4211809,1.5444010540686413e-05,0.010043242213544147,-2.5495698002984407e-05,-8.143886719370098e-06,1.735181128361431e-05,1.1604324221354414e-05,0.0034075023018065214,-0.10004846637140045,-0.10004754765533226,-0.10004743673365717,-0.10005234565831668
4213028,0.005437449492544264,0.12627150490050967,-0.000570440001693283,0.00013454338296769002,0.0007049833846609728,0.00014850420357494362,0.048248727392026756,-1.5432818327957158,-1.5459389798642516,-1.5431224970282884,-1.54319376671429
803938,0.0686595399561863,2.517139414490652,-0.008058083631245303,0.0003842847445788488,0.008442408062143485,0.004506718343545948,1.0742660306272556,-13.325400131070685,-13.325138127545502,-13.325077201188472,-13.326501692650096
1328226,0.15950341311079744,2.9447056335442365,-0.010574899474023982,4.239091342032573e-05,0.01061728022774656,0.005439541863246235,1.2659940459937984,-16.5765224228445,-16.576311305081603,-16.576131797174337,-16.57787790699432
1721442,0.3403572580151456,8.167370593207162,-0.027687337285032438,-0.0023310491507127665,0.025356259824745212,0.015842458970695625,3.5449920467557763,-51.87883019366395,-51.879072402026985,-51.877731093783524,-51.88259991997438
1590370,0.2843209825558475,8.573721404493513,-0.028074234911034612,0.0032698778405199588,0.03134408912420987,0.018143680400249756,3.8223223090407696,-51.21574090735932,-51.21602110244861,-51.214579941975394,-51.21956938413206
1197154,0.034328831559162845,0.8479932248791937,-0.002986844423278407,2.8720373368892274e-05,0.0030155682890434013,0.0016177187700415914,0.3563329618693843,-5.145717849893641,-5.145671140360923,-5.145610586471727,-5.146105431676033
1590371,0.22505329866235568,7.191001957298464,-0.023238441697092844,0.0031072648677047095,0.026345691895977994,0.015324273971942904,3.17381329013194,-41.51704591522992,-41.51654658540544,-41.51610964708674,-41.52024232369943
1197155,0.057730674856645896,1.3389797915803663,-0.004646785088526949,-1.0389764104517874e-05,0.00463637601041369,0.002543697700839233,0.564597479124996,-8.04951988489433,-8.049464747702045,-8.04934842596914,-8.050129994346019
1066083,0.04392499772465103,1.2185132446476383,-0.0037961388174535147,0.00013678804330571168,0.003932929612344032,0.0023127336825729435,0.5384966610576669,-8.294647026039517,-8.294501333099449,-8.294486111663543,-8.295198599229556
2114658,0.0008310522695283148,0.02022207405996338,-9.916182493570816e-05,1.6022266670899874e-05,0.00011518578488956621,3.993501391666931e-05,0.011163897090728216,-0.20297501527341227,-0.20297189539532864,-0.20297155165465494,-0.20298740108793428
2114659,0.0005003704056470987,0.011758982336942142,-5.628663047274344e-05,1.0626303034151401e-05,6.691282767670995e-05,2.3522416949762408e-05,0.006412169412959964,-0.11566541944417986,-0.11566364480850028,-0.11566344994973067,-0.11567246006921293
803940,0.043405297065328974,1.7842464732090888,-0.005465052470605666,0.00036140282143272905,0.00582647381232075,0.0032228318638812163,0.7377700119588109,-8.734351684632928,-8.734156071055972,-8.734134934052978,-8.735103299064463
